epoch,acc,step,loss,val_acc
0,0.8828125,49,0.2735700309276581,
0,,76,,0.8374603390693665
1,0.875,99,0.31045547127723694,
1,0.859375,149,0.2972251772880554,
1,,153,,0.8750793933868408
2,0.890625,199,0.30562037229537964,
2,,230,,0.8839682340621948
3,0.90625,249,0.23108123242855072,
3,0.875,299,0.2598167657852173,
3,,307,,0.8875396847724915
4,0.8515625,349,0.31192293763160706,
4,,384,,0.8922222256660461
5,0.9140625,399,0.19683341681957245,
5,0.875,449,0.28929099440574646,
5,,461,,0.8951587080955505
6,0.8984375,499,0.21930307149887085,
6,,538,,0.8991270065307617
7,0.9453125,549,0.20054511725902557,
7,0.90625,599,0.23964013159275055,
7,,615,,0.9031745791435242
8,0.90625,649,0.2055710256099701,
8,,692,,0.9069841504096985
9,0.8828125,699,0.2679814100265503,
9,0.9140625,749,0.22376815974712372,
9,,769,,0.9111111164093018
10,0.9140625,799,0.19158005714416504,
10,,846,,0.9143650531768799
11,0.9453125,849,0.15708860754966736,
11,0.9140625,899,0.1963401734828949,
11,,923,,0.9183333516120911
12,0.921875,949,0.1784229278564453,
12,0.9296875,999,0.19186440110206604,
12,,1000,,0.9233333468437195
13,0.890625,1049,0.2110845148563385,
13,,1077,,0.9276190400123596
14,0.8984375,1099,0.21113236248493195,
14,0.953125,1149,0.14659927785396576,
14,,1154,,0.9305555820465088
15,0.9296875,1199,0.13506698608398438,
15,,1231,,0.9331746101379395
16,0.9375,1249,0.18157152831554413,
16,0.96875,1299,0.10953619331121445,
16,,1308,,0.9362698197364807
17,0.9453125,1349,0.15128034353256226,
17,,1385,,0.939047634601593
18,0.90625,1399,0.2139565795660019,
18,0.9765625,1449,0.09175368398427963,
18,,1462,,0.9420635104179382
19,0.9921875,1499,0.07795880734920502,
19,,1539,,0.9446031451225281
20,0.9453125,1549,0.15755315124988556,
20,0.9453125,1599,0.1355922818183899,
20,,1616,,0.946587324142456
21,0.953125,1649,0.14579348266124725,
21,,1693,,0.9486507773399353
22,0.96875,1699,0.10347775369882584,
22,0.953125,1749,0.09778455644845963,
22,,1770,,0.9511111378669739
23,0.9609375,1799,0.10545449703931808,
23,,1847,,0.953253984451294
24,0.9921875,1849,0.06222645565867424,
24,0.9609375,1899,0.12884050607681274,
24,,1924,,0.9544444680213928
25,0.953125,1949,0.10058095306158066,
25,0.9609375,1999,0.10229818522930145,
25,,2001,,0.9561904668807983
26,0.9609375,2049,0.11922929435968399,
26,,2078,,0.9573016166687012
27,0.9453125,2099,0.12283282727003098,
27,0.9609375,2149,0.08925043791532516,
27,,2155,,0.9593650698661804
28,0.9609375,2199,0.10903871804475784,
28,,2232,,0.9602380990982056
29,0.9453125,2249,0.1456965208053589,
29,0.9765625,2299,0.07450108975172043,
29,,2309,,0.9621428847312927
