step,epoch,loss,acc,val_acc
49,0,20.29669952392578,0.21875,
99,0,8.654210090637207,0.28125,
149,0,6.59898567199707,0.25,
153,0,,,0.26968252658843994
199,1,10.61538314819336,0.203125,
249,1,8.610150337219238,0.390625,
299,1,3.4212441444396973,0.4375,
307,1,,,0.3395238220691681
349,2,10.541380882263184,0.40625,
399,2,5.099247455596924,0.375,
449,2,4.8148579597473145,0.421875,
461,2,,,0.3797619044780731
499,3,5.066436767578125,0.3125,
549,3,3.5216550827026367,0.453125,
599,3,13.314225196838379,0.375,
615,3,,,0.36325398087501526
649,4,2.8597331047058105,0.5,
699,4,5.533412933349609,0.3125,
749,4,2.8486387729644775,0.3125,
769,4,,,0.3677777647972107
799,5,3.308433771133423,0.375,
849,5,9.483880043029785,0.21875,
899,5,3.7791590690612793,0.4375,
923,5,,,0.4082539677619934
949,6,3.0374255180358887,0.53125,
999,6,2.787510633468628,0.53125,
1049,6,2.7882840633392334,0.390625,
1077,6,,,0.42920634150505066
1099,7,3.0492169857025146,0.359375,
1149,7,3.7287068367004395,0.3125,
1199,7,2.731997013092041,0.46875,
1231,7,,,0.3898412585258484
1249,8,4.976900100708008,0.34375,
1299,8,2.4396884441375732,0.40625,
1349,8,2.505742073059082,0.53125,
1385,8,,,0.4422222077846527
1399,9,3.8029961585998535,0.359375,
1449,9,1.747338056564331,0.546875,
1499,9,1.8475441932678223,0.59375,
1539,9,,,0.41626983880996704
